diagnostic_id,source_phase,branch,status,blocked_item,reason,claim_use,model_training_allowed,a100_training_allowed_now,a100_80gb_request_now,evidence_source
P116-APPX-011,46-51,Bayesian inverse closure and moving-source inversion,"Synthetic-positive, AM-Bench-negative",Bayesian inverse closure and moving-source inversion,Carried forward from Phase 60 appendix negative diagnostic table.,Limitation/negative control: interpretable source inversion needs better AM-Bench path registration.,false,false,false,docs/results/ambench_dense_source_parameter_transfer_v1.md
P116-APPX-012,52-53,Registered source-path features and data pivot,Data-incompatible,Registered source-path features and data pivot,Carried forward from Phase 60 appendix negative diagnostic table.,Limitation: current bundle lacks single-track scan-path/camera registration metadata.,false,false,false,docs/results/ambench_source_path_data_pivot_gate_v1.md
P116-APPX-013,58,Alternate-density broad21 spot_size stress,Density-sensitive boundary,Alternate-density broad21 spot_size stress,Carried forward from Phase 60 appendix negative diagnostic table.,Appendix/route-boundary: fixed-sampling claim is not density-invariant.,false,false,false,docs/results/phase58_sampling_panel_stress/phase58_sampling_density_stress_summary.md
P116-APPX-014,59,Residual anatomy and no-test-leakage upper-bound probe,Negative model-expansion gate,Residual anatomy and no-test-leakage upper-bound probe,Carried forward from Phase 60 appendix negative diagnostic table.,Appendix/route-boundary: validation-visible correction falls back to mean baseline.,false,false,false,docs/results/phase59_residual_anatomy/phase59_broad21_density_residual_upper_bound.md
P116-APPX-015,75,bayesian_inverse_closure_v1,blocked_by_local_ambench_gate,bayesian_inverse_closure_v1,"The candidate is identifiable on synthetic heat-source data, but the local AM-Bench gate still shifts error between global, hot q90, and gradient q90 metrics. Do not run broad12/broad21 A100 validation yet.",appendix diagnostic: synthetic-positive but local AM-Bench-negative,false,false,false,docs/results/phase75_bayesian_inverse_closure_gate/
P116-APPX-016,79,bounded_spot_size_parameterization_v1 safety gate,local_surrogate_required_before_a100,bounded_spot_size_parameterization_v1 safety gate,"fixed-sampling margins are positive, but density debt and Phase 69 still block direct A100 seed-7 validation",appendix diagnostic: direct A100 blocked by density debt,false,false,false,docs/results/phase79_bounded_spot_size_parameterization_gate/
P116-APPX-017,80,bounded_spot_size_parameterization_v1 local surrogate,blocked_by_local_surrogate_gate,bounded_spot_size_parameterization_v1 local surrogate,validation gain over identity is below the pre-declared minimum,appendix diagnostic: local surrogate below gain threshold,false,false,false,docs/results/phase80_bounded_spot_size_local_surrogate_gate/
P116-APPX-018,81,registered target intake,blocked_no_registered_target,registered target intake,"No current route has public reproducibility, split readiness, process metadata, and coordinate-compatible source/target registration at the same time.",future-work data limitation,false,false,false,docs/results/phase81_registered_target_intake_gate/
P116-NIST-001,115,melt_pool_camera_target,closed_no_training,"target_mp_mean_mean, target_mp_q90_mean, target_mp_max_mean, target_mp_max_range, target_mp_temporal_mean_range",Phase 113 focused review found validation/test reversal versus mean guard,appendix_nist_ammt_diagnostic,false,false,false,docs/results/phase115_nist_ammt_diagnostic_closure_package/phase115_nist_ammt_diagnostic_boundary_table.csv
P116-NIST-002,115,gcode_strategy_source,closed_no_training,target_intensity_std:blocked_layer_time_strategy_shortcut; target_center_periphery_contrast:blocked_no_gain_over_xypt_guard; target_grid_mean_range:blocked_no_baseline_visible_gap; target_quadrant_contrast:blocked_no_baseline_visible_gap,Phase 114 found no candidate target after XYPT guard and shortcut checks,appendix_nist_ammt_diagnostic,false,false,false,docs/results/phase115_nist_ammt_diagnostic_closure_package/phase115_nist_ammt_diagnostic_boundary_table.csv
P116-NIST-003,115,nist_ammt_diagnostics,closed_no_training,new NIST AMMT main-text model claim,"Phase 111, Phase 113, and Phase 114 all close as diagnostic or negative branches",appendix_nist_ammt_diagnostic,false,false,false,docs/results/phase115_nist_ammt_diagnostic_closure_package/phase115_nist_ammt_diagnostic_boundary_table.csv
P116-NIST-004,115,compute,closed_no_training,A100-SXM4-80GB escalation,no seed-positive model branch or 40GB memory/runtime blockage exists,appendix_nist_ammt_diagnostic,false,false,false,docs/results/phase115_nist_ammt_diagnostic_closure_package/phase115_nist_ammt_diagnostic_boundary_table.csv
