kind,dataset,split_or_branch,status,process_conditioning_claim,route,metrics_gate,seed_gate,paper_placement,current_evidence,next_action,notes
diagnostic_branch,,Phase 33: Fixed Fourier spacetime representation,diagnostic_negative,no,,Negative,closed_or_blocked,appendix_diagnostic_or_limitation,docs/results/ambench_multiline_process_fourier_spacetime_v1.md,Keep as negative evidence unless the documented blocker is removed.,Appendix diagnostic: fixed coordinate basis degraded all broad12 splits.
diagnostic_branch,,Phase 34: Sparse closure and learned residual correction,diagnostic_negative,no,,Negative,closed_or_blocked,appendix_diagnostic_or_limitation,docs/results/ambench_multiline_process_residual_correction_v1.md,Keep as negative evidence unless the documented blocker is removed.,Appendix diagnostic: closure/residual heads over-traded hot/gradient metrics.
diagnostic_branch,,Phase 35: Train-split region-weighted data loss,diagnostic_negative,no,,Negative after seed check,closed_or_blocked,appendix_diagnostic_or_limitation,docs/results/ambench_multiline_process_region_weighted_loss_v1.md,Keep as negative evidence unless the documented blocker is removed.,Appendix diagnostic: single-seed region gains did not survive paired seeds.
diagnostic_branch,,Phase 36: Structured process-neighborhood RBF features,diagnostic_negative,no,,Unstable,closed_or_blocked,appendix_diagnostic_or_limitation,docs/results/ambench_multiline_process_process_graph_rbf_v1.md,Keep as negative evidence unless the documented blocker is removed.,Appendix diagnostic: split-local process-neighborhood signal did not transfer.
diagnostic_branch,,Phase 37: Strong-baseline residualized Macro PINN,diagnostic_negative,no,,Negative,closed_or_blocked,appendix_diagnostic_or_limitation,docs/results/ambench_multiline_process_target_residual_v1.md,Keep as negative evidence unless the documented blocker is removed.,Appendix diagnostic: ExtraTrees residualization left no useful neural residual.
diagnostic_branch,,Phase 38: Residual Macro PINN backbone,diagnostic_negative,no,,Negative,closed_or_blocked,appendix_diagnostic_or_limitation,docs/results/ambench_multiline_process_residual_backbone_v1.md,Keep as negative evidence unless the documented blocker is removed.,Appendix diagnostic: backbone changes improved one metric only by hurting others.
diagnostic_branch,,Phase 39-40: Process-conditioned output affine calibration,diagnostic_negative,no,,Non-transferable,closed_or_blocked,appendix_diagnostic_or_limitation,docs/results/ambench_multiline_process_output_affine_v1.md,Keep as negative evidence unless the documented blocker is removed.,Appendix diagnostic: broad12 local positive failed broad21 transfer.
diagnostic_branch,,Phase 41-43: Derived process features and process encoder,diagnostic_negative,no,,Non-transferable,closed_or_blocked,appendix_diagnostic_or_limitation,docs/results/ambench_multiline_process_process_encoder_v1.md,Keep as negative evidence unless the documented blocker is removed.,Appendix diagnostic: representation signals were broad21-positive but broad12-negative.
diagnostic_branch,,Phase 44: Process-condition group-balanced objective,diagnostic_negative,no,,Negative,closed_or_blocked,appendix_diagnostic_or_limitation,docs/results/ambench_multiline_process_group_balance_v1.md,Keep as negative evidence unless the documented blocker is removed.,Appendix diagnostic: region gains on broad21 sacrificed global RMSE and broad12 failed.
diagnostic_branch,,Phase 45: Baseline-guarded expert stack gate,diagnostic_negative,no,,Negative,closed_or_blocked,appendix_diagnostic_or_limitation,docs/results/ambench_multiline_process_baseline_guarded_expert_plan_v1.md,Keep as negative evidence unless the documented blocker is removed.,Appendix diagnostic: existing experts did not contain a validation-selectable transferable stack.
diagnostic_branch,,Phase 46-51: Bayesian inverse closure and moving-source inversion,diagnostic_negative,no,,"Synthetic-positive, AM-Bench-negative",closed_or_blocked,appendix_diagnostic_or_limitation,docs/results/ambench_dense_source_parameter_transfer_v1.md,Keep as negative evidence unless the documented blocker is removed.,Limitation/negative control: interpretable source inversion needs better AM-Bench path registration.
diagnostic_branch,,Phase 52-53: Registered source-path features and data pivot,blocked_by_data,no,,Data-incompatible,closed_or_blocked,appendix_diagnostic_or_limitation,docs/results/ambench_source_path_data_pivot_gate_v1.md,Keep as negative evidence unless the documented blocker is removed.,Limitation: current bundle lacks single-track scan-path/camera registration metadata.
