evidence_source,dataset,split,route,classification,policy_role,status,route_policy_signal,strong_baseline_relation,metrics_summary,reason
phase60_stress,broad12,spot_size,,stronger_baseline_stress,supports fixed-sampling Phase 55 floor,stress_support,supports_current_floor,mean: 151.850578,Test RMSE: candidate=136.384782; delta=-15.465796,Stress support preserves the current floor but does not by itself open route-policy training.
phase60_stress,broad12,spot_size,,stronger_baseline_stress,supports fixed-sampling Phase 55 floor,stress_support,supports_current_floor,mean: 252.554440,Hot q90 RMSE: candidate=162.125337; delta=-90.429103,Stress support preserves the current floor but does not by itself open route-policy training.
phase60_stress,broad12,spot_size,,stronger_baseline_stress,supports fixed-sampling Phase 55 floor,stress_support,supports_current_floor,mean: 233.119660,Gradient q90 RMSE: candidate=165.282182; delta=-67.837478,Stress support preserves the current floor but does not by itself open route-policy training.
phase60_stress,broad21,spot_size,,stronger_baseline_stress,supports fixed-sampling Phase 55 floor,stress_support,supports_current_floor,mean: 149.185412,Test RMSE: candidate=146.002303; delta=-3.183109,Stress support preserves the current floor but does not by itself open route-policy training.
phase60_stress,broad21,spot_size,,stronger_baseline_stress,supports fixed-sampling Phase 55 floor,stress_support,supports_current_floor,mean: 251.976794,Hot q90 RMSE: candidate=164.313888; delta=-87.662906,Stress support preserves the current floor but does not by itself open route-policy training.
phase60_stress,broad21,spot_size,,stronger_baseline_stress,supports fixed-sampling Phase 55 floor,stress_support,supports_current_floor,mean: 231.072566,Gradient q90 RMSE: candidate=174.735839; delta=-56.336727,Stress support preserves the current floor but does not by itself open route-policy training.
phase60_stress,broad12,spot_size,,alternate_density_stress,density stress support,stress_support,supports_current_floor,mean: 140.201362,Test RMSE: candidate=139.085217; delta=-1.116145,Stress support preserves the current floor but does not by itself open route-policy training.
phase60_stress,broad12,spot_size,,alternate_density_stress,density stress support,stress_support,supports_current_floor,mean: 253.374499,Hot q90 RMSE: candidate=235.696768; delta=-17.677731,Stress support preserves the current floor but does not by itself open route-policy training.
phase60_stress,broad12,spot_size,,alternate_density_stress,density stress support,stress_support,supports_current_floor,mean: 234.028899,Gradient q90 RMSE: candidate=221.604222; delta=-12.424677,Stress support preserves the current floor but does not by itself open route-policy training.
phase60_stress,broad21,spot_size,,alternate_density_stress,density-sensitive boundary,stress_boundary,boundary_not_policy_signal,mean: 139.725646,Test RMSE: candidate=153.259455; delta=13.533809,Stress boundary must be preserved as a limitation unless a new validation-only selector appears.
phase60_stress,broad21,spot_size,,alternate_density_stress,density-sensitive boundary,stress_boundary,boundary_not_policy_signal,mean: 253.129723,Hot q90 RMSE: candidate=270.628922; delta=17.499198,Stress boundary must be preserved as a limitation unless a new validation-only selector appears.
phase60_stress,broad21,spot_size,,alternate_density_stress,density-sensitive boundary,stress_boundary,boundary_not_policy_signal,mean: 231.780894,Gradient q90 RMSE: candidate=250.519935; delta=18.739041,Stress boundary must be preserved as a limitation unless a new validation-only selector appears.
phase60_stress,broad15,spot_size,,auxiliary_process_panel,auxiliary process-panel support,stress_support,supports_current_floor,mean: 151.850578,Test RMSE: candidate=138.855456; delta=-12.995122,Stress support preserves the current floor but does not by itself open route-policy training.
phase60_stress,broad15,spot_size,,auxiliary_process_panel,auxiliary process-panel support,stress_support,supports_current_floor,mean: 252.554440,Hot q90 RMSE: candidate=158.622677; delta=-93.931762,Stress support preserves the current floor but does not by itself open route-policy training.
phase60_stress,broad15,spot_size,,auxiliary_process_panel,auxiliary process-panel support,stress_support,supports_current_floor,mean: 233.732337,Gradient q90 RMSE: candidate=165.869192; delta=-67.863145,Stress support preserves the current floor but does not by itself open route-policy training.
phase60_stress,broad21_density,test,blend:broad_process_v1->mean:alpha=1,residual_upper_bound_gate,route-boundary evidence; do not claim density-invariant robustness,blocks_density_route_policy,blocks_policy_training,mean: 139.725646,Test RMSE: candidate=153.259459; delta=13.533813,"The validation-selected upper-bound correction is mean fallback, not a transferable route policy."
phase60_stress,broad21_density,test,,residual_anatomy_slice,appendix residual-slice evidence,stress_boundary,boundary_not_policy_signal,mean: 143.582200,line_id=Line_1_1_1: candidate=165.425776; delta=21.843576,Stress boundary must be preserved as a limitation unless a new validation-only selector appears.
phase60_stress,broad21_density,test,,residual_anatomy_slice,appendix residual-slice evidence,stress_boundary,boundary_not_policy_signal,mean: 253.129723,region=hot_q90: candidate=272.542708; delta=19.412985,Stress boundary must be preserved as a limitation unless a new validation-only selector appears.
phase60_stress,broad21_density,test,,residual_anatomy_slice,appendix residual-slice evidence,stress_boundary,boundary_not_policy_signal,mean: 131.865568,time_bin=low: candidate=150.448143; delta=18.582575,Stress boundary must be preserved as a limitation unless a new validation-only selector appears.
